image;height;width;type;original_dataset;scenario;airport;runway;time_to_landing;weather;night;time;lat;lon;alt;yaw;pitch;roll;slant_distance;along_track_distance;height_above_runway;lateral_path_angle;vertical_path_angle;watermark_height;runway_in_cone;x_TR;y_TR;x_TL;y_TL;x_BL;y_BL;x_BR;y_BR
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_047_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4L;;;;01/04/2020 16:00;40.656071;-74.188093;180.16601;25.267885;85.853612;3.385384;1.642804;1.633301;581.426295;5.066951;3.01715;0;IN_EXTENDED_ODD;474;480;467;480;432;504;445;503
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_048_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/07/2020 13:00;40.657941;-74.186249;147.91691;35.550721;86.319455;3.612924;1.497912;1.495797;472.686548;0.606393;2.661185;0;IN_ODD;355;491;347;491;340;512;355;511
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_048_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4L;;;;01/07/2020 13:00;40.657941;-74.186249;147.91691;35.550721;86.319455;3.612924;1.507935;1.495653;475.622158;6.565913;2.665574;0;IN_EXTENDED_ODD;301;495;292;495;243;520;258;518
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_049_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/04/2020 13:00;40.658384;-74.185312;133.494138;29.566608;86.859908;-7.950132;1.455674;1.453281;425.36774;1.690558;2.455682;0;IN_ODD;446;477;438;476;419;493;434;495
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_049_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4L;;;;01/04/2020 13:00;40.658384;-74.185312;133.494138;29.566608;86.859908;-7.950132;1.46886;1.453138;428.30335;7.806103;2.45697;0;IN_EXTENDED_ODD;392;470;384;469;323;480;338;482
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_050_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/05/2020 14:00;40.660614;-74.185807;170.749552;25.158756;81.350372;-5.704403;1.346095;1.342725;547.596794;-1.510003;3.399685;0;IN_ODD;547;412;539;412;542;440;558;441
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_050_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4L;;;;01/05/2020 14:00;40.660614;-74.185807;170.749552;25.158756;81.350372;-5.704403;1.351306;1.342579;550.532404;5.146735;3.409999;0;IN_EXTENDED_ODD;492;407;483;406;440;430;455;431
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_051_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/06/2020 11:00;40.663581;-74.183277;130.015968;27.037652;83.717787;3.426112;1.134337;1.132302;413.956424;-0.422592;2.986408;0;IN_ODD;495;442;486;442;485;469;504;468
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_051_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4L;;;;01/06/2020 11:00;40.663581;-74.183277;130.015968;27.037652;83.717787;3.426112;1.144166;1.132158;416.892033;7.446243;2.990388;0;IN_EXTENDED_ODD;434;445;425;446;363;477;381;476
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_052_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/06/2020 11:00;40.665359;-74.182569;129.13876;23.787008;82.52245;-1.49312;1.024717;1.022251;411.078444;-1.421257;3.24142;0;IN_ODD;560;424;550;424;554;455;575;456
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_052_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4L;;;;01/06/2020 11:00;40.665359;-74.182569;129.13876;23.787008;82.52245;-1.49312;1.032992;1.022106;414.014053;7.301421;3.247808;0;IN_EXTENDED_ODD;495;423;486;423;419;452;439;453
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_053_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/06/2020 16:00;40.666353;-74.181792;113.163103;25.074245;92.075644;-0.171119;0.955081;0.953127;358.664868;-1.157706;3.002433;0;IN_ODD;535;569;525;569;528;599;550;599
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_053_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4L;;;;01/06/2020 16:00;40.666353;-74.181792;113.163103;25.074245;92.075644;-0.171119;0.964923;0.952983;361.600477;8.184426;3.007146;0;IN_EXTENDED_ODD;469;569;459;569;382;599;404;599
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_054_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/05/2020 12:00;40.668394;-74.180177;103.016478;16.83508;85.504082;5.082737;0.812602;0.810848;325.375416;-0.409734;3.122491;0;IN_ODD;654;454;643;455;641;489;667;487
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_055_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/06/2020 15:00;40.67297;-74.177335;84.046042;21.566145;88.449386;5.910356;0.509207;0.507337;263.136449;-0.872839;3.669278;0;IN_ODD;587;503;574;504;573;557;614;553
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_056_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/08/2020 14:00;40.673306;-74.177266;73.767474;22.391704;90.007306;-1.085347;0.489452;0.487851;229.414114;-1.594197;3.293304;0;IN_ODD;577;534;564;533;564;581;608;582
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_057_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/06/2020 12:00;40.674575;-74.176152;57.421092;20.168574;86.452852;0.968102;0.39822;0.39718;175.784248;-0.106415;2.931011;0;IN_ODD;605;472;592;472;572;520;625;520
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_058_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/05/2020 15:00;40.676654;-74.174725;48.744981;28.478065;82.741823;2.745925;0.257784;0.25661;147.319318;0.891995;3.279392;0;IN_ODD;470;416;455;417;412;488;494;483
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_059_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;4R;;;;01/06/2020 13:00;40.676977;-74.174425;49.427827;26.44372;84.979502;3.60471;0.234662;0.233224;149.559627;1.946952;3.525427;0;IN_ODD;500;450;485;451;426;533;515;527
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_060_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 14:00;40.696348;-74.086836;290.29349;-82.930046;86.315722;0.187779;3.235212;3.231392;939.662752;-0.119519;2.644061;0;IN_ODD;484;486;479;486;479;497;486;497
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_061_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 12:00;40.697655;-74.092381;335.205475;-94.246359;89.960037;5.602579;2.978202;2.972357;1087.011787;0.938462;3.300093;0;IN_ODD;652;537;646;537;643;552;651;551
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_062_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/07/2020 14:00;40.700004;-74.092963;313.142366;-86.595288;89.401671;6.721273;2.944083;2.933509;1014.626256;3.640249;3.116037;0;IN_ODD;502;540;497;541;483;556;490;555
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_063_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/07/2020 13:00;40.698177;-74.094113;255.156396;-84.004672;87.539444;2.436876;2.895016;2.890907;824.383567;1.44272;2.578233;0;IN_ODD;483;505;478;505;472;517;479;516
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_064_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/04/2020 16:00;40.696144;-74.096769;269.877465;-90.947052;87.890661;1.49531;2.785407;2.780901;872.681039;-1.223599;2.827391;0;IN_ODD;621;509;616;509;621;522;628;522
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_065_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 12:00;40.697018;-74.097193;249.209228;-92.271237;85.082686;9.130974;2.760335;2.757038;804.871862;-0.185349;2.632344;0;IN_ODD;622;448;616;449;618;461;626;460
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_066_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/08/2020 16:00;40.698484;-74.101839;298.832335;-84.394308;84.929891;-8.574892;2.543776;2.538042;967.677334;1.346603;3.407674;0;IN_ODD;497;469;492;469;482;484;490;485
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_067_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 12:00;40.699071;-74.102523;225.291631;-84.998887;85.980363;1.069957;2.508399;2.503882;726.402053;2.102896;2.599813;0;IN_ODD;492;479;486;479;476;492;484;492
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_068_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/04/2020 12:00;40.696128;-74.103914;264.337815;-95.52869;84.290704;-2.116909;2.462067;2.456218;854.506336;-2.086875;3.105841;0;IN_ODD;706;466;700;466;708;482;717;483
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_069_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/06/2020 12:00;40.696274;-74.104446;242.053438;-91.284943;87.326899;7.089093;2.436244;2.43125;781.394859;-1.95385;2.870798;0;IN_ODD;632;488;626;488;636;502;645;501
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_070_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/04/2020 16:00;40.697991;-74.104796;261.956206;-81.887051;85.983257;6.662554;2.410446;2.40627;846.692656;0.432818;3.138489;0;IN_ODD;460;491;454;491;453;508;461;506
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_071_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/04/2020 13:00;40.697063;-74.109829;255.15171;-81.434277;88.204361;-0.489096;2.187483;2.18235;824.368195;-1.514298;3.343259;0;IN_ODD;476;520;470;520;476;539;486;539
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_072_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/07/2020 10:00;40.696715;-74.11711;218.935337;-93.499121;82.436244;-4.312481;1.860193;1.853213;705.548069;-3.338461;3.324109;0;IN_ODD;689;443;681;442;697;465;709;466
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_073_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/06/2020 10:00;40.698671;-74.119693;212.817011;-88.878984;83.969329;-5.056903;1.729255;1.72549;685.47482;-0.060244;3.450848;0;IN_ODD;582;460;574;459;571;481;583;482
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_074_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/08/2020 11:00;40.699063;-74.122806;164.61977;-87.618799;86.298364;1.983533;1.584384;1.58193;527.347383;0.326073;2.879657;0;IN_ODD;553;482;545;482;541;502;555;501
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_075_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 13:00;40.699154;-74.124988;135.894634;-77.661045;83.336042;0.900382;1.484041;1.482275;433.104808;0.214761;2.512962;0;IN_ODD;399;435;390;435;387;453;401;453
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_076_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 16:00;40.699664;-74.125721;171.565805;-93.707919;87.310421;3.561053;1.449463;1.446231;550.136214;1.307971;3.250857;0;IN_ODD;640;494;631;494;621;519;636;518
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_077_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 10:00;40.699609;-74.126559;127.857887;-88.175286;84.960565;1.355134;1.410304;1.408452;406.737527;1.072093;2.47084;0;IN_ODD;555;456;547;456;537;475;552;475
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_078_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/06/2020 16:00;40.699602;-74.12779;128.888591;-79.500795;82.228585;4.989009;1.354398;1.35253;410.119102;0.886674;2.581456;0;IN_ODD;415;423;406;424;399;445;415;444
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_079_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/06/2020 15:00;40.699179;-74.127884;125.832052;-85.455173;82.17056;-10.432436;1.352152;1.350489;400.091086;-0.198853;2.522831;0;IN_ODD;543;418;534;416;529;435;545;438
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_080_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 11:00;40.699162;-74.139878;107.225652;-90.2286;84.535584;-0.661549;0.809217;0.805356;339.046465;-3.86346;3.319079;0;IN_ODD;626;454;615;454;641;490;668;491
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_081_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/06/2020 10:00;40.700293;-74.141252;89.950693;-77.156212;87.119972;4.9403;0.738486;0.73696;282.370089;0.590739;2.981948;0;IN_ODD;391;500;379;501;369;536;398;533
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_082_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/06/2020 14:00;40.700877;-74.145184;66.914896;-89.293691;86.901983;0.641162;0.556794;0.555124;206.793324;2.738973;2.734927;0;IN_ODD;570;481;557;481;518;518;556;517
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_083_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 10:00;40.701001;-74.147699;53.465402;-89.358453;85.073123;4.058643;0.441626;0.440183;162.667685;3.087871;2.56039;0;IN_ODD;568;446;554;447;507;489;555;486
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_084_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/07/2020 11:00;40.700716;-74.148036;79.261514;-87.27329;81.270436;10.630227;0.428325;0.426331;247.300602;0.721578;3.967077;0;IN_ODD;530;394;516;397;503;461;551;453
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_085_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/08/2020 16:00;40.700732;-74.150067;57.82444;-90.495665;82.884019;1.35811;0.335236;0.333941;176.968992;-0.327303;3.36873;0;IN_ODD;604;417;589;417;571;477;634;476
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_086_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/07/2020 15:00;40.700373;-74.151024;43.642201;-84.571169;84.520529;8.116875;0.294434;0.292341;130.439337;-5.319609;2.709315;0;IN_EXTENDED_ODD;521;438;505;440;549;486;620;476
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_087_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/05/2020 12:00;40.700966;-74.151177;50.210116;-83.638867;86.718499;7.971858;0.28346;0.282244;151.987613;1.542752;3.227293;0;IN_ODD;489;479;474;482;435;550;509;540
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_088_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/08/2020 15:00;40.700966;-74.151302;47.795144;-89.438627;84.882448;-0.74379;0.277693;0.276579;144.064479;1.475219;3.099419;0;IN_ODD;585;448;569;448;521;508;597;510
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_089_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;29;;;;01/04/2020 12:00;40.701186;-74.153994;39.377692;-94.991303;86.01783;5.848093;0.15451;0.153032;116.448165;3.482365;3.468955;0;IN_ODD;665;447;647;449;550;556;688;545
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_090_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/06/2020 11:00;40.704543;-74.248737;321.201611;95.640709;86.520758;-6.267396;3.111114;3.102087;1036.675613;3.135554;2.94903;0;IN_ODD;471;490;466;489;452;500;458;501
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_091_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/05/2020 16:00;40.708541;-74.247721;305.749071;102.993063;87.919992;6.422826;3.081739;3.076624;985.978301;-1.358152;2.828653;0;IN_ODD;407;526;402;527;408;538;415;537
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_092_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/08/2020 12:00;40.703426;-74.248092;399.812284;88.1644;83.676286;1.928267;3.082878;3.066995;1294.584651;4.364112;3.725652;0;IN_EXTENDED_ODD;569;457;564;458;546;474;553;474
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_093_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/07/2020 10:00;40.708107;-74.244794;284.474384;94.375887;85.941227;1.432264;2.945738;2.941322;916.179459;-1.143903;2.742216;0;IN_ODD;537;482;532;482;536;493;543;493
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_094_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/07/2020 10:00;40.706277;-74.241482;288.704955;98.273628;87.027605;0.327018;2.785578;2.781262;930.059285;0.769582;2.937648;0;IN_ODD;456;501;450;501;446;515;454;515
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_095_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/08/2020 10:00;40.706214;-74.241042;288.411666;98.417784;82.543532;4.274495;2.765299;2.760933;929.09705;0.816175;2.95517;0;IN_ODD;447;436;441;437;438;450;446;450
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_096_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/08/2020 15:00;40.706346;-74.239547;293.793678;100.206768;86.489714;0.138722;2.698165;2.693673;946.754569;0.54229;3.083726;0;IN_ODD;428;494;423;494;419;509;427;509
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_097_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/04/2020 15:00;40.705766;-74.23879;275.927108;96.866862;88.988033;10.896817;2.660701;2.656231;888.137213;1.230564;2.929215;0;IN_ODD;477;538;471;539;468;554;476;552
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_098_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/05/2020 11:00;40.708379;-74.237607;246.631987;89.822007;84.656312;-2.719246;2.621344;2.616013;792.024608;-2.270429;2.645698;0;IN_ODD;623;466;617;465;626;479;634;479
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_099_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/07/2020 13:00;40.708605;-74.235555;294.905412;93.750238;87.390487;-8.14093;2.531911;2.523922;950.401991;-2.84463;3.289771;0;IN_ODD;565;518;559;517;569;534;577;536
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_100_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/06/2020 10:00;40.707991;-74.229973;233.700903;96.011145;86.590817;7.936573;2.273084;2.266967;749.599788;-2.806169;2.865384;0;IN_ODD;526;489;520;490;535;504;544;502
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_101_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/05/2020 12:00;40.705591;-74.226701;213.830991;94.432837;86.209279;-0.074648;2.108726;2.105725;684.409788;0.519558;2.804293;0;IN_ODD;519;484;512;484;508;500;518;500
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_102_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/05/2020 14:00;40.705287;-74.22427;234.305126;99.527671;85.223095;-2.131232;1.99758;1.99367;751.58215;0.79125;3.244089;0;IN_ODD;439;471;432;471;426;490;436;490
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_103_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/06/2020 14:00;40.705702;-74.223981;191.110566;92.361163;88.562737;11.78354;1.985155;1.982683;609.867707;0.045699;2.640466;0;IN_ODD;557;509;550;511;551;526;562;524
images/flsim/KEWR/KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35_104_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;KEWR-4R-22L-11-29-4L-22R__10-smpl__10h35;KEWR;11;;;;01/05/2020 15:00;40.704273;-74.215523;137.645212;93.214565;89.422055;2.131273;1.593105;1.590723;434.456436;1.90956;2.296428;0;IN_ODD;527;526;519;526;505;543;518;542
